day,cases,cases_per_mln_cum,deaths,recovered,tests,positives,positives_tests_ratio,hospitalized,quaran,supervised,deaths_recovered_ratio
2020-04-04,244,94.5,8,115,7856,331,0.042133401,2434,131888,39157,0.069565217
2020-04-05,475,106.9,15,18,4710,367,0.077919321,2444,143256,37295,0.833333333
2020-04-06,311,115,13,28,6748,331,0.049051571,2476,148130,36391,0.464285714
2020-04-07,435,126.3,22,29,7069,468,0.066204555,2425,153390,33273,0.75862069
2020-04-08,357,135.6,29,31,8313,341,0.041020089,2473,152898,33989,0.935483871
2020-04-09,370,145.3,16,62,10698,401,0.037483642,2409,158663,33879,0.258064516
2020-04-10,380,155.2,7,34,11265,346,0.030714603,2426,166973,31370,0.205882353
2020-04-11,401,165.6,27,57,8447,586,0.069373742,2481,162924,30982,0.473684211
2020-04-12,318,173.9,24,64,5623,258,0.045882981,2510,151548,29571,0.375
2020-04-13,258,180.6,13,48,4691,117,0.024941377,2471,144875,28665,0.270833333
2020-04-14,270,187.6,18,131,8172,359,0.043930494,2499,145875,28085,0.13740458
2020-04-15,380,197.6,23,50,12578,363,0.028859914,2607,142220,25923,0.46
2020-04-16,336,206.3,28,106,10583,443,0.041859586,2673,138004,25773,0.264150943
2020-04-17,457,218.2,18,92,13306,349,0.026228769,2725,118361,25273,0.195652174
2020-04-18,334,226.9,15,115,11286,520,0.046074783,2483,124311,17436,0.130434783
2020-04-19,515,240.3,13,59,9990,370,0.037037037,2511,111079,17266,0.220338983
2020-04-20,306,248.3,20,93,10119,284,0.028066014,2914,105602,21364,0.215053763
2020-04-21,263,255.2,20,164,14444,297,0.020562171,3505,98020,22731,0.12195122
2020-04-22,313,263.3,25,216,11920,312,0.026174497,3099,103129,21781,0.115740741
2020-04-23,342,272.2,28,227,14482,413,0.02851816,3095,97905,20546,0.123348018
2020-04-24,381,282.2,40,204,13793,308,0.022330167,2821,87003,19653,0.196078431
2020-04-25,381,292.1,30,182,11639,328,0.028181115,2749,79656,19116,0.164835165
2020-04-26,344,301,12,139,7226,366,0.050650429,2759,78878,18693,0.086330935
2020-04-27,285,308.5,26,201,12885,328,0.025455957,2934,82643,18394,0.129353234
2020-04-28,316,316.7,34,189,13783,326,0.023652325,2973,85837,18016,0.17989418
2020-04-29,422,327.7,28,370,13500,366,0.027111111,3012,88265,18874,0.075675676
2020-04-30,300,335.5,20,211,16601,324,0.019516897,2789,92458,18433,0.09478673
2020-05-01,228,341.5,7,255,11385,270,0.023715415,2649,95625,18383,0.02745098
2020-05-02,270,348.5,12,271,9935,318,0.032008052,2761,96612,18306,0.044280443
2020-05-03,318,356.8,15,183,7856,244,0.031059063,2653,96699,17785,0.081967213
2020-05-04,313,364.9,19,150,10466,305,0.029141984,2738,100765,17291,0.126666667
2020-05-05,406,375.5,19,185,16198,405,0.025003087,2760,101395,17081,0.102702703
2020-05-06,311,383.6,18,375,15526,251,0.016166431,2711,103913,16765,0.048
2020-05-07,303,391.5,22,207,17512,302,0.017245317,2758,104024,17540,0.106280193
2020-05-08,337,400.3,20,322,17180,310,0.018044237,2768,102996,17155,0.062111801
2020-05-09,288,407.8,9,253,16218,311,0.019176224,2658,100784,17225,0.035573123
